uid,role,gender,pay_annual_USD
1,Designer,Female,"$100,000 - $119,999"
2,Designer,Male,"$180,000 - $199,999"
3,Scientist,Male,"$100,000 - $119,999"
4,Analyst,Female,"$60,000 - $79,999"
5,Leadership,Male,"$120,000 - $139,999"
6,Scientist,Female,"$60,000 - $79,999"
7,Developer,Male,"$80,000 - $99,999"
8,Analyst,Female,"$60,000 - $79,999"
9,Designer,Male,"$60,000 - $79,999"
10,Scientist,Female,"$80,000 - $99,999"
11,Leadership,Male,"$100,000 - $119,999"
12,Analyst,Female,"$80,000 - $99,999"
13,Designer,Female,"$10,000 - $19,999"
14,Analyst,Female,"$60,000 - $79,999"
15,Developer,Male,"$140,000 - $159,999"
16,Journalist,Female,"$40,000 - $59,999"
17,Analyst,Female,"$100,000 - $119,999"
18,Engineer,Male,"$220,000 - $239,999"
19,Leadership,Male,"$200,000 - $219,999"
20,Analyst,Male,"$80,000 - $99,999"
21,Engineer,Male,"$160,000 - $179,999"
22,Developer,Female,"$60,000 - $79,999"
23,Analyst,Male,"$100,000 - $119,999"
24,Engineer,Male,"$120,000 - $139,999"
25,Leadership,Male,"$60,000 - $79,999"
26,Engineer,Male,"$140,000 - $159,999"
27,Leadership,Male,"$120,000 - $139,999"
28,Analyst,Female,"$40,000 - $59,999"
29,Scientist,Female,"$80,000 - $99,999"
30,Developer,Female,"$120,000 - $139,999"
31,Other,Female,"$80,000 - $99,999"
32,Teacher,Male,"$80,000 - $99,999"
33,Developer,Male,"$100,000 - $119,999"
34,Analyst,Male,"$80,000 - $99,999"
35,Developer,Female,"$140,000 - $159,999"
36,Designer,Female,"$180,000 - $199,999"
37,Other,Male,"$120,000 - $139,999"
38,Analyst,Female,"$100,000 - $119,999"
39,Engineer,Female,"$100,000 - $119,999"
40,Scientist,Female,"$120,000 - $139,999"
41,Leadership,Male,"$140,000 - $159,999"
42,Designer,Male,"$40,000 - $59,999"
43,Analyst,Female,"$20,000 - $39,999"
44,Journalist,Female,"$60,000 - $79,999"
45,Analyst,Male,"$80,000 - $99,999"
46,Analyst,Female,"$80,000 - $99,999"
47,Other,Male,"$160,000 - $179,999"
48,Developer,Male,"$80,000 - $99,999"
49,Developer,Female,"$80,000 - $99,999"
50,Leadership,Female,"$200,000 - $219,999"
51,Analyst,Female,"$60,000 - $79,999"
52,Leadership,Male,"$180,000 - $199,999"
53,Leadership,Male,"$240,000 or more"
54,Engineer,Female,"$140,000 - $159,999"
55,Analyst,Female,"$60,000 - $79,999"
56,Scientist,Female,"$100,000 - $119,999"
57,Teacher,Female,"$140,000 - $159,999"
58,Analyst,Male,"$60,000 - $79,999"
59,Analyst,Female,"$60,000 - $79,999"
60,Scientist,Male,"$140,000 - $159,999"
61,Scientist,Male,"$20,000 - $39,999"
62,Designer,Female,"$120,000 - $139,999"
63,Leadership,Male,"$140,000 - $159,999"
64,Leadership,Male,"$80,000 - $99,999"
65,Designer,Female,"$40,000 - $59,999"
66,Journalist,Male,"$80,000 - $99,999"
67,Engineer,Male,"$200,000 - $219,999"
